name,total_score,duty,work_state,date,title,pros,cons,wish,like
페이스북코리아,width:100%;,IT/인터넷,전직원,2020. 07. 31,"
BEST
      ""개발 대우도 잘해주고 여러모로 근무하기 편한 분위기""
    ","
개방적인 분위기에서 자유롭게 일할 수 있는 환경. 눈치보지 않을 수 있는게 제일 좋음
","
핵심 업무 외에 해결해야할 다른 업무들이 조금 있어서, 일에 온전하게 집중하기에는 어렵다
","
직원들의 요구 사항을 잘 들어주셨으면 좋겠습니다.
", 0 
페이스북코리아,width:100%;,IT/인터넷,전직원,2020. 07. 17,"
BEST
      ""어떤 직종을 하든 대우가 좋고 보람찬 기업 사내문화는 스마트하며 좋은 문호ㅓ""
    ","
연차제도가 굉장히 좋고 상사의 눈치가 없음 그리고 무엇보다 수평적인 분위기
","
보고를 위한 보고서가 많고 거기에 모든 시간을 소비하게 되어 본인의 업무가 많이 늦어짐
","
신입사원 좀 적극적으로 뽑아주고 능력있는 사원을 구성하여 팀에 보탬이 되게 해주세요
", 0 
페이스북코리아,width:100%;,마케팅/시장조사,전직원,2020. 04. 24,"
BEST
      ""직원을 어른으로 대우해주는 성숙한 기업이라고 생각합니다. 그만큼 성숙한 사람들이 함께 만드는 기업인 것 같습니다.""
    ","
재택근무, 연차 사용에 대해서는 원하시는대로 사용하시면 됩니다이걸 떠나서, 어른으로 대우해주는 기업문화가 최고죠. 회사가 가진 미션과 비젼을 직원들도 함께 공유하고 업무에도 나타난다는게 좋습니다. 원하시는 만큼 얻어가실 수 있는 곳이라고 생각해요. 글로벌리 워킹하시는 경험도 충분히 얻으실 수 있습니다. 먼저 뛰어드는 습관을 꼭 기르시면, 어마어마한 경험들을 하실 수 있을 거에요.식대도 좋고, 간식도 깔려있습니다
","
업무 강도가 강합니다. 그러나 이걸 단점이라고 보기보다는 얼만큼 욕심내며 일하냐의 차이 같네요.
","
제가 있던 직무에서는 없습니다. 너무 좋은 환경이어서 만족을 하며 다녔어요!
", 6 
페이스북코리아,width:80%;,IT/인터넷,전직원,2020. 03. 16,"
BEST
      ""연봉이 높아서 높아서 사회 초년생일 때 도움이 많이 되었음""
    ","
연봉이 높다.. 연봉이 높아서 맛있는거 많이 사먹을 수 있다.
","
정규직이여서 다행이였지만... 비정규직 차별 당하는게 눈에 보여서 안타까웠음...
","
직원들 잘 챙겨주세요.. 이렇게 가다간 아무도 남지 않을거에요.
", 7 
페이스북코리아,width:60%;,IT/인터넷,전직원,2020. 03. 03,"
BEST
      ""대우가 좋고 자유로운 분위기인것 같습니다. 친구 따라서 입사하게 되어있는데 너무 좋다""
    ","
외국계 기업이라 조금 더 수평적인 문화인 것 같고 pto도 더 많이 주는 것 같다
","
한국에 베이스기 때문에 한국 문화가 섞여 있는 것이 제일 큰 단점.
","
경영진에게 바라는 것은 더욱 더 수평적이고 transparent한 문화에 힘ㄷ을 써줬으면 한다
", 1 
페이스북코리아,width:80%;,IT/인터넷,전직원,2019. 10. 19,"
BEST
      ""개발자로서 다양한 경험을 할 수 있고 개발자로서 커리어가 잘 쌓임,성과에 따라 대우가 달라짐""
    ","
연차를 윗사람 눈치 보지 않고 쓸 수 있음. 도서 구입, 개인 필요 장비 등 지원은 아주 잘 해줌
","
성과가 너무 명확하고 요즘은 다른 플랫폼에 밀리는 추세라 맨날 눈치를 봐야 함
","
적극적인 투자가 필요하고,  여러가지로 투자가 많이 필요함과 동시에 새로운 아이디어가 필요함
", 1 
페이스북코리아,width:80%;,영업/제휴,전직원,2019. 10. 14,"
BEST
      ""업계에서 한 가닥하는 분들만 모여있어 배우는 게 많습니다. 다른 기업과 많이 다릅니다.""
    ","
확실한 성과제. 자기 일 잘하면 별 말 없습니다. 팀마다 분위기는 다를 수 있습니다.
","
자율성이 크다보니 리더쉽이 디테일을 놓칠 때가 종종 있습니다. 스스로 일을 찾아서 해야하다 보니 체계적인 곳에서 오신 분들은 힘들 수 있습니다. 정말 체계가 없으니 너무 큰 환상을 갖고 오면 버티기 어려우실 겁니다. 신입은 잘 뽑지 않지만, 경력이 적은 분들도 사수를 기대하신다면 어려우실 겁니다. 경쟁이 치열하고 일도 스스로 해야하니 이런 환경이 맞지 않는 분들은 특별히 배울 것 없이 일찍 퇴사하실 수도 았습니다. 추가로 계약직분들에 대한 회사 차원의 차별이 있습니다.
","
원하는 방향이 조금은 디테일할 필요가 있는 것 같습니다.
", 6 
페이스북코리아,width:100%;,IT/인터넷,전직원,2019. 10. 11,"
BEST
      ""스마트한 사람들과 자기주도적으로 일할 수 있는 회사. 존중받으며 일할 수 있는 회사.""
    ","
자기주도적으로 일할 수 있음 (매니저가 일을 분배해주는 형식이 아니라 자기가 알아서 해야함)출퇴근 시간이 자유롭고 성과를 내기만 한다면 업무 터치 없음
","
성과위주의 문화. 소위 임팩트 없이 일하면 도태되기 싶다.
","
회사의 사이즈가 계속해서 커지고 있지만 인간적이고 따뜻했던 회사의 문화 계속 가져가주세요
", 1 
페이스북코리아,width:100%;,인사/총무,전직원,2019. 09. 24,"
BEST
      ""직원들이 좋은 대우를 받으며 일할수 있는곳같습니다.""
    ","
우선연봉이 높은편이며 복지가 좋음 사내문화가 수평 문화기때문에 자유롭게 일할수 있는 환경 구성이 되어있습니다
","
정규직과 비정규직 대우 차별이 심함 그리고 아직 사무실 규모가크지않아서 식사가 따로 제공되지않음
","
없습니다. 어짜피 제가 말해서 바뀌지 않을테니까 말입니다.
", 4 
페이스북코리아,width:100%;,마케팅/시장조사,현직원,2019. 06. 02,"
BEST
      ""합리적인 회사 생활.인풋과 아웃풋의 조화.국내 대기업과는 완전히 다르다.""
    ","
괜찮은 대우, 논리가 통하고일에 집중 할 수 있게 한다.시설도 좋고 전체적으로 분위기가 밝다.
","
처음에 들어가면 아무도 챙겨주지 않는데아마 이것이 외국계 회사의 특징이라 생각이 든다.처음부터 알아서 자기가 다 만들어야 하고모르면 적극 물어봐야 한다.
","
조직이 커진다고 국내 대기업 처럼 관리의 조직이 되지 않았으면 합니다.
", 5 
