,cor_ids,cor_names,cor_ratings,nreviews
0,90364,페이스북코리아(유),4.6,54
1,328412,(주)셀메이트,4.6,24
2,89723,라이엇게임즈코리아,4.4,44
3,313882,버즈빌(주),4.4,39
4,94877,유니티테크놀로지스코리아(유),4.3,34
5,328190,네이버웹툰(주),4.3,33
6,44566,구글코리아(유),4.3,137
7,75756,(주)벡터코리아아이티,4.2,20
8,53975,구 카카오(주) ,4.2,52
9,95319,(주)에이스프로젝트,4.1,50
10,92714,(주)오픈놀,4.0,23
11,324916,(주)웨딩북,4.0,34
12,20862,에스에이피랩스코리아(주),4.0,31
13,49486,피앤피시큐어(주),4.0,42
14,16738,우리에프아이에스(주),4.0,79
15,42216,네이버클라우드(주),4.0,81
16,20575,SK텔레콤(주),4.0,631
17,80176,드라마앤컴퍼니(주),4.0,32
18,322659,(주)트릿지,4.0,41
19,342151,틱톡,3.9,28
20,59119,(주)이랜서,3.9,74
21,97088,(주)이씨에스텔레콤,3.9,38
22,42217,네이버(주),3.9,954
23,73258,(주)새움소프트,3.9,21
24,89330,아마존웹서비스,3.9,60
25,88820,캠프모바일,3.9,33
26,93880,(주)카카오,3.9,632
27,68173,(주)오픈서베이,3.9,36
28,87575,브이씨엔씨(주),3.9,20
29,52356,(주)크레비스파트너스,3.8,38
30,5318,파이언넷(주),3.8,23
31,319036,테이블링(주),3.8,27
32,20860,에스에이피코리아(주),3.8,111
33,52769,(주)코스콤,3.8,63
34,307694,(주)민앤지,3.8,40
35,92091,(주)지란지교시큐리티,3.8,45
36,75938,(주)버즈니,3.8,34
37,60182,유디피(주),3.7,33
38,53492,(주)케이에스넷,3.7,61
39,90053,크몽,3.7,60
40,307904,(주)씨커스,3.7,20
41,314301,(주)샌드박스네트워크,3.7,49
42,42729,나이스정보통신(주),3.7,31
43,205979,(주)쿡앱스,3.7,36
44,83677,네오플(주),3.7,71
45,93303,(주)오케이몰,3.7,136
46,309507,(주)비바리퍼블리카,3.6,70
47,89255,라인플러스(주),3.6,348
48,3627,한국마이크로소프트(유),3.6,184
49,82715,다음커뮤니케이션(주),3.6,244
50,58985,이베이코리아(주),3.6,585
51,87452,왓챠,3.6,27
52,83498,(주)넥슨코리아,3.6,624
53,19802,엔테크서비스(주),3.6,276
54,90052,(주)에이치알맨파워그룹,3.6,21
55,89174,넥슨지티(주),3.6,60
56,5737,톰슨로이터코리아(주),3.6,23
57,30162,삼성에스디에스(주),3.6,1459
58,90431,데브시스터즈(주),3.6,55
59,62244,오픈메이트(주),3.6,20
60,1306,현대오토에버(주),3.6,283
61,25303,스터디코드네트웍스(주),3.5,26
62,228094,세틀뱅크(주),3.5,47
63,20613,에스케이(주),3.5,376
64,64418,(주)엔씨소프트,3.5,607
65,61420,배달의민족,3.5,319
66,309392,엔카닷컴(주),3.5,103
67,55593,지란지교소프트(주),3.5,62
68,48292,한성아이티엘(주),3.5,31
69,3128,한국정보통신(주),3.5,85
70,67099,(주)안랩,3.5,583
71,88463,엔에이치엔(주),3.5,379
72,297582,(주)이호스트아이씨티,3.5,29
73,19566,엘에스산전(주),3.5,383
74,20564,에스케이플래닛(주),3.5,807
75,93219,(주)휴노,3.5,28
76,42722,나이스평가정보(주),3.5,308
77,9695,지티플러스(주),3.5,26
78,36119,라온시큐어(주),3.5,80
79,74848,비스텔(주),3.5,93
80,87204,엘림넷(주),3.5,22
81,48761,(주)티머니,3.4,64
82,94714,뤼이드(주),3.4,45
83,68982,씨에스피아이(주),3.4,27
84,88812,카본코드테크놀로지,3.4,43
85,82718,(주)바이브컴퍼니,3.4,84
86,78770,로보티즈(주),3.4,30
87,74946,(주)크래프톤,3.4,109
88,82790,(주)다우기술,3.4,367
89,87230,(주)연합뉴스,3.4,152
90,87353,(주)진학사,3.4,115
91,83259,누리봄(주),3.4,25
92,89423,이음소시어스(주),3.4,90
93,51167,투이컨설팅(주),3.4,45
94,92376,(주)오파스넷,3.4,61
95,58863,(주)이스트소프트,3.4,241
96,16081,워터월시스템즈(주),3.4,21
97,59023,이메인텍(주),3.4,21
98,91714,한국무역정보통신(주),3.4,39
99,87369,(주)커머스웨어,3.4,27
100,47782,(주)핸드스튜디오,3.4,41
101,88115,빙글,3.4,54
102,17582,오직(주),3.4,25
103,86149,가비아(주),3.4,147
104,20626,에스케이브로드밴드(주),3.4,185
105,23717,카페24(주),3.4,558
106,66878,(주)알티캐스트,3.3,173
107,38433,델인터내셔널(주),3.3,50
108,12945,일렉트로닉아츠코리아(유),3.3,59
109,53658,케이비데이타시스템(주),3.3,71
110,276354,(주)레이니스트,3.3,49
111,92170,(주)위민,3.3,188
112,69533,싸이버로지텍(주),3.3,91
113,308899,이노시스컴퍼니(주),3.3,28
114,89753,텐던시,3.3,37
115,78090,(주)마이다스아이티,3.3,351
116,72805,(주)선데이토즈,3.3,71
117,19380,엠아이큐브솔루션(주),3.3,30
118,89342,이롭게,3.3,27
119,63133,(주)연합인포맥스,3.3,28
120,91180,펫박스(주),3.3,24
121,64559,엑스엘게임즈(주),3.3,95
122,57278,잡코리아(유),3.3,290
123,88863,키위플(주),3.3,39
124,82789,(주)다우데이타,3.3,51
125,77178,(주)모비젠,3.3,84
126,50513,(주)파이오링크,3.3,99
127,49572,(주)플립커뮤니케이션즈,3.3,147
128,76056,배달통(주),3.3,22
129,3715,한국내쇼날인스트루먼트(주),3.3,124
130,70951,(주)스마일게이트엔터테인먼트,3.3,172
131,58234,(주)이파피루스,3.3,23
132,66886,알티베이스(주),3.3,73
133,82999,(주)다나와,3.3,220
134,258821,(주)이즈파크,3.3,20
135,83745,(주)네오위즈,3.2,259
136,64877,(주)아톤,3.2,33
137,61856,(주)와이즈버즈,3.2,33
138,57392,(주)잉카엔트웍스,3.2,21
139,8893,(주)직방,3.2,158
140,42281,네무스텍(주),3.2,21
141,78213,링네트(주),3.2,82
142,20570,에스케이텔링크(주),3.2,33
143,5080,펜타시스템테크놀러지(주),3.2,62
144,53190,(주)케이티넥스알,3.2,31
145,52828,(주)코비젼,3.2,61
146,50599,(주)파수,3.2,173
147,70599,스포카(주),3.2,102
148,67743,엔에이치엔에듀(주),3.2,31
149,313528,와디즈플랫폼(주),3.2,81
150,64207,(주)엔코아,3.2,32
151,89797,두산정보통신(주),3.2,109
